ncaa_id,unique_id
8258876,d3d-7153418
7818497,d3d-7153418
7339626,d3d-7153418
7153418,d3d-7153418
7564301,d3d-7564301
7822094,d3d-7564301
8273965,d3d-7564301
7997222,d3d-7997222
7353356,d3d-7135269
7817901,d3d-7135269
8283773,d3d-7135269
7135269,d3d-7135269
7814789,d3d-7584635
8893220,d3d-7584635
8278393,d3d-7584635
7584635,d3d-7584635
8013549,d3d-8013549
8283973,d3d-8013549
8682134,d3d-8682134
8454181,d3d-8454181
7147765,d3d-7147765
6573332,d3d-6095687
6095687,d3d-6095687
7356368,d3d-6095687
6927003,d3d-6095687
8454742,d3d-8454742
8585970,d3d-8585970
7818337,d3d-7117103
7117103,d3d-7117103
7331762,d3d-7117103
8016525,d3d-8016525
8260347,d3d-8016525
8898896,d3d-8595838
8595838,d3d-8595838
7816565,d3d-7588572
7588572,d3d-7588572
8279633,d3d-7588572
8000814,d3d-8000814
7551069,d3d-7551069
7820310,d3d-7551069
8259440,d3d-7592727
7813017,d3d-7592727
7592727,d3d-7592727
6573054,d3d-5670736
6052110,d3d-5670736
6926757,d3d-5670736
5670736,d3d-5670736
6919088,d3d-6622337
7331876,d3d-6622337
6622337,d3d-6622337
7814253,d3d-6622337
8265498,d3d-7576772
7576772,d3d-7576772
7813345,d3d-7576772
6927510,d3d-6713522
6713522,d3d-6713522
6193141,d3d-6193141
7132034,d3d-6193141
